CSDUID,DAUID
1002018,10020130
1002019,10020131
1002019,10020132
1002019,10020133
1002019,10020134
1002019,10020135
1002019,10020136
1002016,10020137
1003001,10030056
1003002,10030057
1003003,10030058
1003005,10030059
1003004,10030060
1003009,10030061
1003010,10030062
1003011,10030063
1003012,10030064
1003006,10030065
1003008,10030066
1003008,10030067
1003008,10030068
1003021,10030069
1003014,10030070
1003024,10030071
1003026,10030072
1003028,10030073
1003028,10030074
1003028,10030075
1003028,10030076
1003038,10030077
1003042,10030078
1003045,10030079
1003033,10030080
1003033,10030081
1003031,10030082
1003032,10030083
1003032,10030084
1003034,10030085
1003034,10030086
1003034,10030087
1003034,10030088
1003034,10030089
1003034,10030090
1003034,10030091
1003019,10030092
1003019,10030093
1003020,10030094
1003018,10030095
1003018,10030096
1003801,10030097
1003801,10030098
1004017,10040077
1004016,10040078
1004016,10040079
1004019,10040080
1004019,10040081
1004019,10040082
1004019,10040083
1004019,10040084
1004019,10040085
1004019,10040086
1004019,10040087
1004019,10040088
1004019,10040089
1004019,10040090
1004019,10040091
1004020,10040092
1004020,10040093
1004020,10040094
1004020,10040095
1004021,10040096
1004042,10040097
1004019,10040098
1004019,10040099
1004018,10040100
1004018,10040101
1004018,10040102
1004011,10040103
1004018,10040104
1004013,10040105
1004013,10040106
1004013,10040107
1004011,10040108
1004006,10040109
1004006,10040110
1004006,10040111
1004001,10040112
1004001,10040113
1004001,10040114
1004022,10040115
1004033,10040116
1004022,10040117
1004022,10040118
1004022,10040119
1004037,10040120
1005005,10050076
1005003,10050077
1005008,10050078
1005007,10050079
1005014,10050080
1005009,10050081
1005004,10050082
1005004,10050083
1005004,10050084
1005004,10050085
1005004,10050086
1005004,10050087
1005004,10050088
1005004,10050089
1005004,10050090
1005007,10050091
1005010,10050092
1005012,10050093
1005012,10050094
1005012,10050095
1005012,10050096
1005012,10050097
1005012,10050098
1005011,10050099
1005017,10050101
1005018,10050102
1005018,10050103
1005018,10050104
1005018,10050105
1005018,10050106
1005018,10050107
1005018,10050108
1005018,10050109
1005018,10050110
1005018,10050111
1005018,10050112
1005018,10050113
1005018,10050114
1005018,10050115
1005030,10050116
1005028,10050117
1005030,10050118
1005025,10050119
1005015,10050120
1005022,10050121
1005019,10050122
1005023,10050123
1005020,10050124
1005020,10050125
1005020,10050126
1005033,10050127
1005018,10050129
