DAUID,PRUID,Total_Minutes,Total_Kilometres
35390950,ON,8.46485021,5.16671198
35390756,ON,24.38168995,27.85116725
35400197,ON,13.33467698,17.50768306
35420229,ON,22.05258065,25.08939642
35410220,ON,6.6019254,6.13521235
35390951,ON,10.94601159,6.7271317
35390757,ON,27.13359757,29.29395197
35400198,ON,22.60277917,30.82041676
35420230,ON,17.01780015,18.25380335
35410221,ON,4.92158188,3.22873755
35390952,ON,10.07141997,6.33963222
35390758,ON,20.74188481,25.3532458
35400199,ON,18.87806923,25.37345115
35420231,ON,12.85308325,13.61674739
35410222,ON,2.07753411,1.25933903
35390953,ON,10.10001362,6.72935071
35390759,ON,21.68751341,27.34462789
35400200,ON,14.81670819,17.95195981
35420232,ON,14.4053579,14.01796628
35410223,ON,2.2997581,1.09681053
35390954,ON,8.41828442,6.09457721
35390955,ON,7.5992298,5.19475943
35390956,ON,20.31176503,24.1017914
35390957,ON,21.71835701,25.96041403
35390958,ON,23.51574103,28.2053426
35390961,ON,21.69755028,25.93275007
35400104,ON,17.10552281,20.99193569
35400105,ON,18.01356472,21.9943222
35400106,ON,17.12154528,21.25551913
35400107,ON,18.21861942,21.53205994
35400108,ON,15.62192578,19.39857592
35400109,ON,17.82589488,23.62281008
35400110,ON,17.89260757,22.16303166
35400111,ON,13.63252762,16.59800333
35400112,ON,11.48333265,14.07909021
35400113,ON,9.12826927,9.9831805
35400114,ON,5.49486569,4.82326708
35400115,ON,1.60284979,0.56675265
35400116,ON,2.70759942,1.40827607
35400117,ON,3.06661242,1.21063947
35400118,ON,1.49592154,0.62536753
35400119,ON,0.65688318,0.27882953
35400120,ON,4.47016607,3.07857829
35400121,ON,6.61360947,6.82078033
35400122,ON,13.33420922,15.94275866
35400123,ON,16.53822608,20.30451965
35400124,ON,15.52395694,18.39898997
35400125,ON,15.52560628,17.66117231
35400126,ON,13.45872012,16.4682057
35400127,ON,13.46058912,17.48434227
35400128,ON,10.05790083,13.09573725
35400129,ON,5.61303566,6.87466936
35400130,ON,1.95829712,1.30841435
35400131,ON,0.53824268,0.23056311
35400132,ON,0.44661867,0.23761391
35400133,ON,2.55251895,1.19805773
35400134,ON,2.03134433,1.31999729
35400135,ON,4.53878245,5.01503642
35400136,ON,5.5326017,5.34664649
35400137,ON,7.67729267,8.02888292
35400138,ON,6.17717585,6.56782377
35400139,ON,4.49291385,2.23852192
35400140,ON,2.26771688,1.25852782
35400141,ON,0.29020084,0.16463886
35400142,ON,7.09148515,2.80076587
35400143,ON,3.71011618,2.16646447
35400144,ON,4.6425105,3.35408749
35400145,ON,9.54349464,10.59944012
35400146,ON,15.02366382,17.76303476
35400147,ON,10.88860197,13.08561809
35400148,ON,10.33266711,10.58389982
35400149,ON,8.2702815,9.59447719
35400150,ON,8.37721142,8.54498046
35400151,ON,4.56359353,2.01082907
35400152,ON,2.61628474,1.27327723
35400153,ON,1.41463734,0.73888025
35400154,ON,1.48944005,0.66521638
35400155,ON,0.99358058,0.32616276
35400156,ON,5.90320895,2.11933441
35400157,ON,2.7065258,1.3845507
