"","DAUID","PRUID","y","x","Population"
"249",10010588,10,47.5075897163163,-52.9661938465263,638
"250",10010589,10,47.514623310309,-52.954779214093,1316
"251",10010590,10,47.5229895391398,-52.9614268252045,742
"252",10010591,10,47.5125958529253,-52.9844793087828,679
"253",10010592,10,47.4979799647262,-52.9541894345405,496
"254",10010593,10,47.514650445909,-52.9350188626661,551
"255",10010594,10,47.5137148749471,-52.9297565408157,422
"256",10010595,10,47.5176047493347,-52.9328894365406,418
"257",10010596,10,47.5203030115542,-52.9312872900259,490
"258",10010597,10,47.5186248925417,-52.9376961008046,461
"259",10010598,10,47.5251261370628,-52.940023432591,657
"260",10010599,10,47.5294372995769,-52.9322671757446,615
"261",10010600,10,47.5322200574173,-52.931848137858,618
"262",10010601,10,47.5370767059842,-52.9325265124342,483
"263",10010602,10,47.5341411929033,-52.9436284217167,1162
"264",10010603,10,47.5302928319499,-52.9425019086155,563
"265",10010604,10,47.5355078435706,-52.9225556904547,529
"266",10010605,10,47.5244646658411,-52.9145899481819,549
"267",10010607,10,47.539640951726,-52.8912692883596,1324
"268",10010608,10,47.5319083310058,-52.883303502245,2399
"269",10010610,10,47.5348336575522,-52.8729413606761,1094
"270",10010611,10,47.5340013171485,-52.8630340317329,195
"271",10010614,10,47.5390395430568,-52.8520910866166,384
"272",10010617,10,47.5392522085745,-52.8316297367904,2909
"273",10010618,10,47.5356998806041,-52.8334013314641,610
"274",10010619,10,47.5413094725429,-52.8401397455329,546
"275",10010620,10,47.5332379920859,-52.8122850371286,994
"276",10010621,10,47.5299141598754,-52.8110177247373,623
"277",10010622,10,47.5278573781324,-52.808503588948,586
"278",10010623,10,47.5247627899515,-52.8146492534252,655
"279",10010624,10,47.5211550976127,-52.8148546956262,391
"280",10010625,10,47.519283687382,-52.8141556479386,383
"281",10010626,10,47.5179653230926,-52.8096372833189,375
"282",10010627,10,47.515435317416,-52.8104397208137,414
"283",10010628,10,47.5177392795982,-52.8041584131808,349
"284",10010629,10,47.5129987876241,-52.8137587475036,1010
"285",10010630,10,47.5158548242986,-52.8152388778157,338
"286",10010631,10,47.5146797286996,-52.81884156547,218
"287",10010632,10,47.5181698000259,-52.8242352722874,695
"288",10010633,10,47.520250091632,-52.8212602304121,685
"289",10010634,10,47.5212102253489,-52.8288212809724,701
"290",10010635,10,47.5173621584007,-52.8294197963201,414
"291",10010636,10,47.5142579015983,-52.8247472420048,846
"292",10010637,10,47.5038617505094,-52.816083108689,659
"293",10010638,10,47.509165403116,-52.8064007211143,455
"294",10010639,10,47.5104191581918,-52.8145290424154,374
"295",10010640,10,47.5109631115722,-52.8119474244866,359
"296",10010641,10,47.5104975344348,-52.8076913754731,393
"297",10010642,10,47.5119332799591,-52.8024071898996,465
"298",10010643,10,47.5171194879192,-52.7892431030793,555
"299",10010644,10,47.5142654919415,-52.7863050837483,1461
"300",10010645,10,47.5200454072339,-52.7874725476838,383
"301",10010646,10,47.5238595443719,-52.7836813723343,648
"302",10010647,10,47.5205908350979,-52.7961729341671,467
"303",10010648,10,47.5188382937451,-52.7914050929685,318
"304",10010649,10,47.517742278066,-52.796296288269,309
"305",10010650,10,47.5175358950856,-52.8008068440136,363
"306",10010651,10,47.5288025040783,-52.8029173312053,1276
"307",10010652,10,47.5294444976736,-52.8005962830827,458
"308",10010653,10,47.5319895525381,-52.7955055813286,735
"309",10010654,10,47.507624254724,-52.8059453098401,479
"310",10010655,10,47.5075603372112,-52.8005065065044,300
"311",10010656,10,47.505046215621,-52.7994738766372,686
"312",10010657,10,47.5058285460435,-52.8053808884519,355
"313",10010658,10,47.5051325899628,-52.8099078607367,356
"314",10010659,10,47.5024887662252,-52.8018311077211,269
"315",10010660,10,47.4999863999491,-52.8049939247386,210
"316",10010661,10,47.5001598778555,-52.7987594253154,1064
"317",10010662,10,47.5000293781356,-52.7996635607523,335
"318",10010663,10,47.5026628799743,-52.7932247206891,324
"319",10010664,10,47.5050940490251,-52.7967650442854,205
"320",10010666,10,47.4859927147213,-52.977386003717,492
"321",10010667,10,47.5152764479915,-52.9242873986542,731
"322",10010668,10,47.5133632010756,-52.8959457067047,605
"323",10010669,10,47.4718555351942,-52.7780989945521,570
"324",10010670,10,47.4587335601675,-52.7804437281177,564
"325",10010671,10,47.4582561635682,-52.7774990216744,870
"326",10010672,10,47.4554062523102,-52.7796265029966,389
"327",10010673,10,47.454639269099,-52.7738960000623,316
"328",10010674,10,47.452932758054,-52.7775810583107,354
"329",10010675,10,47.451314627369,-52.7800705513104,507
"330",10010676,10,47.4490550668483,-52.7578129346301,771
"331",10010677,10,47.4577975816084,-52.7684155747827,509
"332",10010678,10,47.4842033821942,-52.724253493225,639
"333",10010679,10,47.471148082748,-52.7056599900713,606
"334",10010680,10,47.4679514905886,-52.7067794353441,341
"335",10010681,10,47.4254499242131,-52.7483572554274,290
"336",10010682,10,47.69396869,-52.7398327,0
"337",10010683,10,47.3245299447974,-52.7928029795538,927
"338",10010684,10,47.3207787499822,-52.8224295486089,639
"339",10010685,10,47.2839007975701,-52.8379329394903,1132
"340",10010686,10,47.2723328269537,-52.7969636124692,508
"341",10010687,10,47.3037366895738,-52.8802135771501,119
"342",10010688,10,47.4380328007484,-52.7810032415243,391
"343",10010689,10,47.3693140759635,-53.1218346057945,845
"344",10010690,10,47.3556889092538,-53.2931660827144,423
"345",10010691,10,47.4961584850433,-53.2851128641395,425
"346",10010692,10,47.4609404343731,-53.3408617797209,720
"347",10010693,10,47.5341889780369,-53.3865779630566,35
"348",10010694,10,47.5031751979597,-53.5438290085187,488
"349",10010695,10,47.5672782116753,-53.5515775424363,579
"350",10010696,10,47.5725383125961,-53.555576555386,386
"351",10010697,10,47.5832019493482,-53.5367474974871,598
"352",10010698,10,47.6205823515795,-53.5375421264425,387
"353",10010699,10,47.6355241421211,-53.5044882302104,441
"354",10010700,10,47.6906764918539,-53.4949476866548,444
"355",10010701,10,47.6904337809795,-53.4744886596539,351
"356",10010702,10,47.7712608310578,-53.4819763766917,646
"357",10010703,10,47.8128911845681,-53.4412821577583,184
