CSDUID,Total_Sec,Total_Min
1305001,2303.5068924,39.0
1305004,932.3045368390568,16.0
1305006,189.70053983644328,4.0
1305007,456.1694745643686,8.0
1305008,328.2447384,6.0
1305011,879.4896350818354,15.0
1305014,1004.0237276420987,17.0
1305015,1360.6222027947251,23.0
1305016,1156.8954705541132,20.0
1305018,976.0128513991489,17.0
1305021,995.8564987951921,17.0
1305022,864.2612361144595,15.0
1305023,839.1607744893005,14.0
1305024,833.4035874,14.0
1305026,920.3253317931477,16.0
1305028,943.3050715589251,16.0
1305031,929.5004609920045,16.0
1305034,1203.8077029967094,21.0
1305036,1275.9148332,22.0
1305038,1269.4734226955595,22.0
1305045,1485.1186256766805,25.0
1305057,1304.6833450111253,22.0
1306001,600.8048644904522,11.0
1306003,579.0237096000001,10.0
1306004,627.6766008,11.0
1306006,518.1200766,9.0
1306007,492.0546138000001,9.0
1306008,571.6833453964285,10.0
1306011,575.4946660153184,10.0
1306014,678.5821178274864,12.0
1306020,1511.6606910298776,26.0
1306025,1429.0230971301187,24.0
1307001,571.7730692220662,10.0
1307002,413.4054018,7.0
1307004,512.7635389692858,9.0
1307005,347.93569972408454,6.0
1307007,360.74676571978694,7.0
1307008,206.92254045049833,4.0
1307009,306.81898128568616,6.0
1307011,418.0559534890411,7.0
1307012,397.19355566622517,7.0
1307013,160.5790469659972,3.0
1307014,83.6701512,2.0
1307016,123.97646157480561,3.0
1307019,243.20753519248882,5.0
1307022,838.9593446453831,14.0
1307024,291.1680814743856,5.0
1307028,927.6218359274403,16.0
1307029,2031.6570981906505,34.0
1307045,1027.4308827723485,18.0
1307052,1057.8704591906037,18.0
1308001,2817.8333973739614,47.0
1308002,3039.0929710687706,51.0
1308003,2909.9970246,49.0
1308004,3523.5525777133053,59.0
1308005,3352.0593693920414,56.0
1308006,2961.467571109995,50.0
1308007,2549.8193863728648,43.0
1308008,2282.967078832611,39.0
1308010,2249.5935672,38.0
1308012,2218.4987274,37.0
1308014,2154.4249959339327,36.0
1308015,2379.491794275073,40.0
1308016,2216.3597569315107,37.0
1308017,1511.7422215345537,26.0
1308018,1893.4545144731396,32.0
1308019,1944.7815702975297,33.0
1308020,2077.5675798,35.0
1308021,1764.0986847681818,30.0
1308022,2502.657182625688,42.0
1308024,3412.431284920213,57.0
1308026,3558.326073567016,60.0
1309001,1672.9411238091695,28.0
1309004,1926.6871673565274,33.0
1309006,1934.7231942,33.0
1309010,2097.0231414,35.0
1309011,1624.3721892684434,28.0
1309014,1902.9474109433802,32.0
1309016,2061.5746176291045,35.0
1309017,916.0093173133278,16.0
1309018,658.0807143571142,11.0
1309019,488.6482486923414,9.0
1309021,392.3067192,7.0
1309022,493.1437831618812,9.0
1309023,734.202660507,13.0
1309026,829.5252444594238,14.0
1309027,647.0036286582068,11.0
1309028,658.4030550608576,11.0
1309031,1520.9716188605744,26.0
1309033,1476.5115804,25.0
1309034,1429.7969136,24.0
1309035,1444.2633222,25.0
1309036,1408.9176822164316,24.0
1309038,1443.369096270922,25.0
1309044,1051.7760020163532,18.0
1309047,1560.4326396,27.0
1309050,2501.4128550574155,42.0
1310001,2029.681315965716,34.0
1310002,1013.942326597592,17.0
1310004,532.2642730015625,9.0
1310005,454.5555582,8.0
1310006,519.2949130194373,9.0
1310007,641.8287,11.0
1310008,632.572227,11.0
1310011,618.7166867999999,11.0
1310012,551.3795496,10.0
1310013,567.2257542,10.0
1310014,574.850427,10.0
1310016,642.7727981102494,11.0
1310017,643.1713133304237,11.0
1310018,772.6482635044734,13.0
1310019,702.5641092,12.0
1310021,771.5358272968472,13.0
1310024,338.2395701134269,6.0
1310025,238.2461952,4.0
1310026,312.80007747874583,6.0
1310028,211.897460052738,4.0
1310031,210.74513148564122,4.0
1310032,1366.4230836590154,23.0
1310034,756.5253574385047,13.0
1310036,690.4714577673913,12.0
1310037,562.0071677999999,10.0
1310054,469.1017601214137,8.0
1311001,2454.6424470712914,41.0
1311004,1101.5971637770167,19.0
1311005,573.7634724,10.0
1311006,1166.2688070151269,20.0
1311008,1339.44753713952,23.0
1311011,1324.3734618703006,23.0
1311012,1629.7633639813505,28.0
1311014,2091.9527448189565,35.0
1311018,1210.7921308266255,21.0
1311019,991.5227208,17.0
1311021,98.3830632,2.0
1311024,417.0841000617696,7.0
1311026,742.0908993029557,13.0
1311027,1109.6595294637,19.0
1311028,1014.9757894928789,17.0
1311030,1207.1941302,21.0
1311031,1198.955066353614,20.0
1312001,3034.8434033324233,51.0
1312002,666.741072,12.0
1312004,590.3772383140401,10.0
1312006,233.25428613430748,4.0
1312007,317.04211964666666,6.0
1312008,454.473864234381,8.0
1312009,874.7281102455091,15.0
1312011,1115.237826,19.0
1312014,1643.3790716797753,28.0
1312016,3021.5902500986076,51.0
1312019,1118.6596639886207,19.0
1312021,311.53308019818616,6.0
1312023,867.0682632823045,15.0
1313002,2077.3436469307694,35.0
1313004,472.72600646993,8.0
1313006,571.032201507867,10.0
1313008,618.5682828,11.0
1313011,481.5688501692308,9.0
1313012,271.32735501818183,5.0
1313014,233.98049622580646,4.0
1313015,181.35058302557078,4.0
1313018,230.340756,4.0
1313020,259.6510548,5.0
1313022,365.68767041562296,7.0
1313024,504.2214996286925,9.0
1313027,1128.02972256952,19.0
1313028,,
1313031,1628.0946377454839,28.0
1313037,511.8286556522627,9.0
1314001,1164.2864888381055,20.0
1314003,1189.9954506,20.0
1314004,1218.2719771378684,21.0
1314005,936.0097842,16.0
1314006,979.1357014484091,17.0
1314008,1062.7222972915595,18.0
1314010,1079.1156576,18.0
1314011,161.30475176095445,3.0
1314012,106.97287970888252,2.0
1314013,203.0094416228571,4.0
1314014,1657.3461058590888,28.0
1314015,1295.8660780990538,22.0
1314016,1615.9453282985164,27.0
1314017,406.91937273658084,7.0
1314020,2466.827234433837,42.0
1314021,760.7365712337767,13.0
1314022,2802.49437243503,47.0
1314025,1814.64501480317,31.0
1314026,1172.8248588,20.0
1315002,2214.2113757384777,37.0
1315006,1680.7041967665468,29.0
1315008,1960.5222054023943,33.0
1315010,2123.2607256,36.0
1315011,1374.1378598734225,23.0
1315012,259.565449652361,5.0
1315013,826.2173691710982,14.0
1315014,769.9396794970318,13.0
1315015,998.76501123619,17.0
1315016,1464.2101511429998,25.0
1315017,839.347352404878,14.0
1315019,472.9482745706667,8.0
1315020,477.0283614,8.0
1315021,2457.86586019939,41.0
1315022,2380.5375840133333,40.0
1315024,1401.8906498879899,24.0
1315026,518.0363399105472,9.0
1315027,277.6300278942791,5.0
1315028,373.5780473584131,7.0
1315029,607.1059568673081,11.0
1315030,577.5488081839786,10.0
1315031,516.1920306327844,9.0
1315032,1460.1584324587238,25.0
1315033,2303.3152311534145,39.0
1315036,1005.1117345014745,17.0
1315037,899.0980382425275,15.0
1315038,1113.8537046681258,19.0
1315040,885.728784,15.0
2401023,581.1096628014931,10.0
2401042,1225.3019513999998,21.0
2402005,1778.3399079030053,30.0
2402010,1066.7409284531154,18.0
2402015,853.4122735124115,15.0
2402028,579.8018989491588,10.0
2402047,1959.2578183749008,33.0
2402902,,
2403005,2206.7164764405097,37.0
2403010,1918.6708964313016,32.0
2403015,1596.8839758,27.0
2403020,1533.941584955989,26.0
2403025,1641.8653666534994,28.0
2403902,,
2403904,,
2404005,4930.7528484,83.0
2404010,3391.443227826934,57.0
2404015,2678.9597274,45.0
2404020,3179.4400224,53.0
2404025,2094.6828258,35.0
2404030,1746.4440827999997,30.0
2404037,685.7423644876653,12.0
2404047,843.6605705985693,15.0
2404902,1645.5132660000002,28.0
2404904,,
2405010,2655.1302894,45.0
2405015,1967.1136842000003,33.0
2405020,3217.6935348,54.0
2405025,2024.2315206,34.0
2405032,2517.5545681938675,42.0
2405040,3025.840195256587,51.0
2405045,3162.866524827223,53.0
2405050,3461.1227874,58.0
2405055,2930.3828148765533,49.0
2405060,2053.5758041080367,35.0
2405065,1308.7523592,22.0
2405070,902.1265190948684,16.0
2405077,1500.6662628,26.0
2405902,600.4488126,11.0
2406005,191.33866471956523,4.0
2406013,850.1356079605979,15.0
2406020,1658.7382500754209,28.0
2406025,2049.1156848,35.0
2406030,852.381197464732,15.0
2406035,503.574012,9.0
2406040,1423.1438838,24.0
2406045,3001.9424394,51.0
2406050,985.6855992,17.0
2406055,1733.4523958209131,29.0
2406060,1798.6429032000003,30.0
2406802,2457.4230516,41.0
2406804,,
2406902,,
2406904,,
2407005,1703.2178226000003,29.0
2407010,1525.3354758,26.0
2407018,1084.444915651048,19.0
2407025,503.6266319999999,9.0
2407030,546.5504305859504,10.0
2407035,291.96242340000003,5.0
2407040,190.40803680000002,4.0
2407047,397.91571082793797,7.0
2407057,1337.2989946745968,23.0
2407065,1428.8980278,24.0
2407070,1732.312947,29.0
2407075,1953.747984,33.0
2407080,1985.860067077642,34.0
2407085,1363.5172375466589,23.0
2407090,1244.5021782,21.0
2407095,1601.4283944,27.0
2407100,2220.4506684,38.0
2407105,1236.9271218,21.0
2407902,1503.4747416,26.0
2407904,,
2407906,,
2407908,525.0743964,9.0
2407910,818.7936948,14.0
2407912,,
2407914,3678.9969474,62.0
2408005,2101.9563611300505,36.0
2408010,1558.8245802,26.0
2408015,1988.4056508000003,34.0
2408023,1143.1927193465456,20.0
2408030,1080.7329234,19.0
2408035,673.5909476072841,12.0
2408040,524.4680694,9.0
