ED_ID,Province,PRUID,ED_Name,x,y,lat,lng,Address,City,Postal_Code
540,Quebec,QC,CENTRE HOSPITALIER FLEURY,-73.65029843,45.57236834,45.57236834,-73.65029843,2180 RUE FLEURY E,MONTRÉAL,H2B1K3
541,Quebec,QC,CENTRE HOSPITALIER ET CLSC DE MEMPHRÉMAGOG,-72.14486445,45.26568146,45.26568146,-72.14486445,50 RUE SAINT PATRICE E,MAGOG,J1X3X3
542,Quebec,QC,CENTRE HOSPITALIER DES MONTS,-66.4833859,49.11938344,49.11938344,-66.4833859,50 RUE DU BELVÉDÈRE,SAINTE-ANNE-DES-MONTS,G0E2G0
543,Quebec,QC,CENTRE HOSPITALIER GATINEAU MÉMORIAL,-75.93182884,45.64847145,45.64847145,-75.93182884,101 CH BURNSIDE,LA PÊCHE,J0X3G0
544,Quebec,QC,CENTRE HOSPITALIER ET CENTRE DE READAPTATION ANTOINE-LABELLE,-75.51652515,46.54928418,46.54928418,-75.51652515,2561 CH DE LA LIEVRE S,MONT LAURIER,J9L3G3
545,Quebec,QC,CENTRE HOSPITALIER HÔTEL-DIEU D'AMOS,-78.12634076,48.57452348,48.57452348,-78.12634076,622 4 RUE O,AMOS,J9T2S2
546,Quebec,QC,CENTRE HOSPITALIER LA SARRE,-79.20030345,48.78638795,48.78638795,-79.20030345,679 2 RUE E,LA SARRE,J9Z2X2
547,Quebec,QC,CENTRE HOSPITALIER HONORÉ-MERCIER,-72.95976305,45.63339568,45.63339568,-72.95976305,2750 BOUL LAFRAMBOISE,SAINT HYACINTHE,J2S4Y8
548,Quebec,QC,CENTRE HOSPITALIER LAURENTIEN,-74.28746121,46.05575345,46.05575345,-74.28746121,234 RUE ST VINCENT,SAINTE-AGATHE-DES-MONTS,J8C2B8
549,Quebec,QC,CENTRE HOSPITALIER PAUL-GILBERT,-71.25854105,46.72441001,46.72441001,-71.25854105,9330 BOUL DU CENTRE HOSPITALIER,LÉVIS,G6X1L6
550,Quebec,QC,CENTRE HOSPITALIER PORTNEUF,-71.8232323,46.89569005,46.89569005,-71.8232323,700 RUE SAINT CYRILLE,SAINT-RAYMOND,G3L1W1
551,Quebec,QC,CENTRE HOSPITALIER PIERRE-BOUCHER,-73.45679189,45.53797215,45.53797215,-73.45679189,1333 BOUL JACQUES-CARTIER E,LONGUEUIL,J4M2A5
552,Quebec,QC,CENTRE HOSPITALIER RÉGIONAL BAIE-COMEAU,-68.25302694,49.19117394,49.19117394,-68.25302694,635 BOUL JOLIET,BAIE COMEAU,G5C1P1
