CSDUID,Average_Travel_Minutes
2428070,49.0
2428075,42.0
2429005,17.0
2429013,11.0
2429020,11.0
2429025,9.0
2429030,8.0
2429038,5.0
2429045,5.0
2429050,7.0
2429057,9.0
2429065,9.0
2429073,14.0
2429095,19.0
2429100,12.0
2429112,23.0
2429120,37.0
2429125,57.0
2430005,43.0
2430010,42.0
2430015,22.0
2430020,27.0
2430025,22.0
2430030,5.0
2430035,6.0
2430040,6.0
2430045,8.0
2430050,9.0
2430055,19.0
2430070,25.0
2430072,34.0
2430080,11.0
2430085,24.0
2430090,26.0
2430095,40.0
2430100,38.0
2430105,38.0
2430110,31.0
2431008,26.0
2431015,13.0
2431020,6.0
2431025,3.0
2431030,7.0
2431035,6.0
2431040,4.0
2431045,3.0
2431050,3.0
2431056,5.0
2431060,6.0
2431084,17.0
2431095,26.0
2431100,17.0
2431105,24.0
2431122,19.0
2431130,21.0
2431135,16.0
2431140,32.0
2432013,40.0
2432023,32.0
2432033,26.0
2432040,25.0
2432045,16.0
2432050,19.0
2432058,25.0
2432065,29.0
2432072,29.0
2432080,27.0
2432085,28.0
2433007,20.0
2433017,16.0
2433025,19.0
2433030,20.0
2433035,25.0
2433040,25.0
2433045,28.0
2433052,33.0
2433060,27.0
2433065,25.0
2433070,23.0
2433080,32.0
2433085,35.0
2433090,40.0
2433095,42.0
2433102,33.0
2433115,31.0
2433123,49.0
2434007,39.0
2434017,22.0
2434025,23.0
2434030,22.0
2434038,21.0
2434048,16.0
2434058,5.0
2434060,2.0
2434065,7.0
2434078,17.0
2434085,14.0
2434090,14.0
2434097,8.0
2434105,1.0
2434115,2.0
2434120,3.0
2434128,14.0
2434135,39.0
2434902,
2434904,20.0
2434906,
2435005,54.0
2435010,41.0
2435015,39.0
2435020,36.0
2435027,40.0
2435035,28.0
2435040,29.0
2435045,28.0
2435050,21.0
2435055,35.0
2435902,
2435904,59.0
2435906,232.0
2435908,
2436033,13.0
2437067,10.0
2437205,25.0
2437210,27.0
2437215,20.0
2437220,16.0
2437225,14.0
2437230,16.0
2437235,11.0
2437240,10.0
2437245,11.0
2437250,11.0
2438005,50.0
2438010,28.0
2438015,16.0
2438020,16.0
2438028,19.0
2438035,22.0
2438040,35.0
2438047,40.0
2438055,47.0
2438060,37.0
2438065,40.0
2438070,18.0
2438802,14.0
2439005,33.0
2439010,25.0
2439015,25.0
2439020,15.0
2439025,10.0
2439030,11.0
2439035,9.0
2439043,9.0
2439060,7.0
2439062,8.0
2439077,19.0
2439085,26.0
2439090,16.0
2439097,13.0
2439105,6.0
2439117,18.0
2439130,10.0
